GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testMex,default,RSANumerico,197,0,8,0,43,0,11,0,7,0
testMex,com.mycompany.testmex,chiavi,187,0,0,0,54,0,3,0,3,0
testMex,com.mycompany.testmex,rubrica.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
testMex,com.mycompany.testmex,rubrica.new AbstractListModel() {...},22,0,0,0,4,0,3,0,3,0
testMex,com.mycompany.testmex,TestMex,3,8,0,0,1,3,1,1,1,1
testMex,com.mycompany.testmex,rubrica.new AbstractListModel() {...},22,0,0,0,4,0,3,0,3,0
testMex,com.mycompany.testmex,rubrica.new AbstractListModel() {...},22,0,0,0,4,0,3,0,3,0
testMex,com.mycompany.testmex,rubrica.new AbstractListModel() {...},0,20,0,0,0,4,0,3,0,3
testMex,com.mycompany.testmex,rubrica.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
testMex,com.mycompany.testmex,generatorechiavi,8,80,0,4,2,15,1,4,1,2
testMex,com.mycompany.testmex,rubrica.new AbstractListModel() {...},0,20,0,0,0,4,0,3,0,3
testMex,com.mycompany.testmex,rubrica.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
testMex,com.mycompany.testmex,dec.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,messaggi.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,loginfallito,97,0,0,0,30,0,3,0,3,0
testMex,com.mycompany.testmex,msgDecifrato.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,signup.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,signup.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,msgDecifrato.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,signup.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,signup.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,chiavi.new Runnable() {...},8,0,0,0,1,0,2,0,2,0
testMex,com.mycompany.testmex,chiavi.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,msgDecifrato,192,0,0,0,51,0,3,0,3,0
testMex,com.mycompany.testmex,RSANumerico,8,227,1,7,2,34,1,12,0,9
testMex,com.mycompany.testmex,chat,411,0,8,0,101,0,11,0,7,0
testMex,com.mycompany.testmex,chat.new AbstractListModel() {...},22,0,0,0,4,0,3,0,3,0
testMex,com.mycompany.testmex,chat.new AbstractListModel() {...},22,0,0,0,4,0,3,0,3,0
testMex,com.mycompany.testmex,chat.new MouseMotionAdapter() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,chat.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,chat.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,chat.new AbstractListModel() {...},20,0,0,0,4,0,3,0,3,0
testMex,com.mycompany.testmex,chat.new AbstractListModel() {...},22,0,0,0,4,0,3,0,3,0
testMex,com.mycompany.testmex,signup,277,0,0,0,75,0,4,0,4,0
testMex,com.mycompany.testmex,dec,105,0,4,0,29,0,5,0,3,0
testMex,com.mycompany.testmex,messaggi,144,0,4,0,39,0,5,0,3,0
testMex,com.mycompany.testmex,MyConnection,8,13,0,0,3,5,1,1,1,1
testMex,com.mycompany.testmex,login.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
testMex,com.mycompany.testmex,login.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
testMex,com.mycompany.testmex,login.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
testMex,com.mycompany.testmex,loginfallito.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.testmex,rubrica,120,331,8,6,26,86,7,7,3,4
testMex,com.mycompany.testmex,login,76,211,2,0,24,53,4,2,3,2
testMex,it.isa.progetto,chat.new AbstractListModel() {...},15,0,0,0,0,0,3,0,3,0
testMex,it.isa.progetto,chat.new AbstractListModel() {...},22,0,0,0,4,0,3,0,3,0
testMex,it.isa.progetto,chat.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,it.isa.progetto,chat.new AbstractListModel() {...},20,0,0,0,4,0,3,0,3,0
testMex,it.isa.progetto,chat.new MouseMotionAdapter() {...},11,0,0,0,3,0,2,0,2,0
testMex,it.isa.progetto,chat.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.mavenproject1,signup,288,0,4,0,73,0,7,0,5,0
testMex,com.mycompany.mavenproject1,login.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.mavenproject1,login.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.mavenproject1,login.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.mavenproject1,signup.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.mavenproject1,signup.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
testMex,com.mycompany.mavenproject1,signup.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
